ANO_ELEICAO,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_PARTIDO,COMPOSICAO_LEGENDA
2016,SANTANA DE MANGUEIRA,JOSE INACIO SOBRINHO,PSDB,45,PSDB / PSB / PTB / PROS / PSD / PSC / DEM
2016,SANTANA DOS GARROTES,JOSE PAULO FILHO,PSB,40,PSB / PMDB / PT / PP / PROS / PSC / PHS
2016,SANTA RITA,EMERSON FERNANDES ALVINO PANTA,PSDB,45,REDE / PTN / PMN / PRP / PSDB / PSD / PROS
2016,SANTA TERESINHA,TEREZINHA LUCIA ALVES DE OLIVEIRA,PSDB,45,PSDB / PR / DEM / PSD
2016,SAO BENTO,JARQUES LUCIO DA SILVA II,DEM,25,DEM / PMDB / PEN / PSDB / PSDC / PSD / PSL / PT / PT do B
2016,SAO JOAO DO CARIRI,COSME GONCALVES DE FARIAS,DEM,25,DEM / PSDB / PC do B
2016,SAO JOAO DO TIGRE,JOSE MAUCELIO BARBOSA,PSB,40,PSB / PSD / PHS / PDT / PT do B / DEM / PSC / PPS / PTB / PRB / PMDB / PT
2016,SAO JOSE DA LAGOA TAPADA,CLAUDIO ANTONIO MARQUES DE SOUSA,PSD,55,PRB / DEM / PSD / PSDB / PR / PMDB / SD
2016,SAO JOSE DE CAIANA,JOSE LEITE SOBRINHO,PR,22,PR / PMDB / PRB / PTN / PPS / DEM / PSDB / PEN / PSD
2016,SAO JOSE DE ESPINHARAS,ANTONIO GOMES DA COSTA NETTO,PSB,40,PSB / PP / PT / PDT / PC do B / PT do B
2016,SAO JOSE DE PIRANHAS,FRANCISCO MENDES CAMPOS,PSB,40,PSB / PC do B / PR / PTB / PMDB / PT / PPS / PDT / PSDB
2016,SAO JOSE DO BONFIM,ROSALBA GOMES DA NOBREGA,PMDB,15,PMDB / PTB / PC do B
2016,SAO JOSE DO SABUGI,JOAO DOMICIANO DANTAS SEGUNDO,DEM,25,DEM / PTB / PSDB / PSB / PC do B
2016,SAO JOSE DOS CORDEIROS,JEFFERSON ROBERTO DO NASCIMENTO PINTO DA SILVA,PSB,40,PSL / PR / PSB / PSD
2016,SAO MAMEDE,UMBERTO JEFFERSON DE MORAIS LIMA,DEM,25,DEM / PSDB / PPS / PSB / PTB / PMDB
2016,SAO MIGUEL DE TAIPU,CLODOALDO BELTRAO BEZERRA DE MELO,PMDB,15,PMDB / PSDB
2016,SAO SEBASTIAO DE LAGOA DE ROCA,SEVERO LUIS DO NASCIMENTO NETO,PSDB,45,PSDB / PSB / PSD / PT do B
2016,SAO SEBASTIAO DO UMBUZEIRO,ADRIANO JERONIMO WOLFF,DEM,25,DEM / PSD / PRP / PT do B / PT / PHS / PP
2016,SAPE,FLAVIO ROBERTO MALHEIROS FELICIANO,PSB,40,PSB / PP / PR / PPS / PSL / PT / PDT
2016,SAO VICENTE DO SERIDO,MARIA GRACIETE DO NASCIMENTO DANTAS,PSB,40,PSB / PSD / PP / DEM / PHS / PROS / PDT / PTB / PT do B / PT / PC do B
2016,SERRA BRANCA,VICENTE FIALHO DE SOUSA NETO,PDT,12,PDT / PSDB / PSD / PPS / PSC / PSL / DEM
2016,SERRA DA RAIZ,ADAILMA FERNANDES DA SILVA LIMA,PTB,14,PTB / PDT / PMDB / PSDB / PSD
2016,SERRA GRANDE,JAIRO HALLEY DE MOURA CRUZ,PSDB,45,PTB / PHS / PSDB / PSD
2016,SERRA REDONDA,DANILO JOSE ANDRADE DE OLIVEIRA,PSD,55,PP / PTN / PSDB / PSD / PSC
2016,SERRARIA,PETRONIO DE FREITAS SILVA,PSD,55,PSDB / PSD / PR / PSL
2016,SOLANEA,KAYSER NOGUEIRA PINTO ROCHA,DEM,25,PP / PTB / PTN / PR / DEM / PSDC / PMN / PSB / PT / PTC
2016,SOLEDADE,GERALDO MOURA RAMOS,PP,11,PP / PDT / PT / PMDB / PR / PROS / PSB / PRTB
2016,SOUSA,FABIO TYRONE BRAGA DE OLIVEIRA,PSB,40,PSB / PDT / PSD / DEM / PTB / PROS / PMB / SD / PHS / PP / PT do B / PPS / PC do B / PSL / REDE / PSOL
2016,SUME,EDEN DUARTE PINTO DE SOUSA,PSB,40,PP / PT / PSB / PTB / PSC / DEM / PSL / PV / PR / PTC / PRP / PEN / PC do B
2016,TACIMA,ERIVAN BEZERRA DANIEL,PMDB,15,PMDB / PRB / PSC / SD
2016,TAPEROA,JURANDI GOUVEIA FARIAS,PMDB,15,PMDB / PDT / DEM / PSB / PSD / PROS
2016,TAVARES,AILTON NIXON SUASSUNA PORTO,PMDB,15,PMDB / PP / PTB / PSD / PT do B / PRB
2016,TEIXEIRA,EDMILSON ALVES DOS REIS,PMDB,15,PMDB / PSB / PRB / PT / PSL / PTN / PR / PV
2016,TRIUNFO,JOSE MANGUEIRA TORRES,PTB,14,PTB / PR / PSL / PSD / PSDB
2016,UIRAUNA,JOAO BOSCO NONATO FERNANDES,PSDB,45,PSDB / PTB / PEN / PPS / PR / PT do B
2016,UMBUZEIRO,JOSE NIVALDO DE ARAUJO,PSB,40,PRB / PMDB / PTN / PPS / PTC / PSB / PT do B
2016,VARZEA,OTONI COSTA DE MEDEIROS,DEM,25,DEM / PTB / PP / PSDB
