"id","pessoajuridica","poder","tipojurisdicionado_fk","localidade_fk","nome","codigo_sagres","previdenciario","municipio_importacao","tramita_id","cancelled","esfera"
209,209,2,3,1264,"Câmara Municipal de São José de Piranhas","101188",FALSE,"São José de Piranhas",209,FALSE,1
705,705,1,9,1319,"Prefeitura Municipal de Maturéia","201119",FALSE,"Maturéia",705,FALSE,1
610,610,1,9,1454,"Prefeitura Municipal de Bayeux","201025",FALSE,"Bayeux",610,FALSE,1
16858,16858,1,9,1385,"Prefeitura Municipal de Tacima","201051",FALSE,"Tacima",16858,FALSE,1
706,706,1,9,1426,"Prefeitura Municipal de Mogeiro","201120",FALSE,"Mogeiro",706,FALSE,1
774,774,1,9,1291,"Prefeitura Municipal de São José de Espinharas","201187",FALSE,"São José de Espinharas",774,FALSE,1
775,775,1,9,1264,"Prefeitura Municipal de São José de Piranhas","201188",FALSE,"São José de Piranhas",775,FALSE,1
776,776,1,9,1321,"Prefeitura Municipal de São José de Princesa","201189",FALSE,"São José de Princesa",776,FALSE,1
777,777,1,9,1292,"Prefeitura Municipal de São José do Bonfim","201190",FALSE,"São José do Bonfim",777,FALSE,1
772,772,1,9,1251,"Prefeitura Municipal de São José do Brejo do Cruz","201191",FALSE,"São José do Brejo do Cruz",772,FALSE,1
807,807,1,9,1283,"Prefeitura Municipal de Vieirópolis","201221",FALSE,"Vieirópolis",807,FALSE,1
808,808,1,9,1270,"Prefeitura Municipal de Vista Serrana","201222",FALSE,"Vista Serrana",808,FALSE,1
809,809,1,9,1355,"Prefeitura Municipal de Zabelê","201223",FALSE,"Zabelê",809,FALSE,1
17426,17426,1,2,1257,"Superintendência Municipal de Meio Ambiente de Cajazeiras","304046",FALSE,"Cajazeiras",17426,FALSE,1
289,289,1,4,1413,"Empresa Municipal de Urbanização da Borborema","304050",FALSE,"Campina Grande",289,FALSE,1
3318,3318,1,7,5566,"Sindicato dos Trabalhadores em Educação do  Estado da Paraíba","0",FALSE,"Paraíba",3318,FALSE,2
3060,3060,1,2,1360,"CISCOR - Consórcio Intermunicipal de Saúde do Cariri Oriental","701155",FALSE,"Cabaceiras",3060,FALSE,1
60,60,2,3,1256,"Câmara Municipal de Cachoeira dos Índios","101041",FALSE,"Cachoeira dos Índios",60,FALSE,1
717,717,1,9,1374,"Prefeitura Municipal de Olivêdos","201131",FALSE,"Olivedos",717,FALSE,1
37766,37766,1,6,1327,"Fundo Municipal de Saúde do Município de São José do Sabugi","601192",FALSE,"São José do Sabugi",37766,FALSE,1
12193,12193,1,6,1266,"Fundo Municipal de Saúde de Uiraúna","601218",FALSE,"Uiraúna",12193,FALSE,1
40392,40392,1,6,1284,"Fundo Municipal de Assitência Social de Areia de Baraúnas","602015",FALSE,"Areia de Baraúnas",40392,FALSE,1
371,371,1,6,1413,"Fundo Municipal da Infância e Adolescência de Campina Grande","602050",FALSE,"Campina Grande",371,FALSE,1
34413,34413,1,6,1335,"Fundo Municipal de Assistência Social de Pedra Lavrada","602138",FALSE,"Pedra Lavrada",34413,FALSE,1
15989,15989,1,6,1448,"Fundo Municipal de Assistência Social de Pilar","602143",FALSE,"Pilar",15989,FALSE,1
16196,16196,1,6,1428,"Fundo Municipal de Assistência Social de Salgado de São Félix","602165",FALSE,"Salgado de São Félix",16196,FALSE,1
440,440,1,6,1432,"Fundo Municipal de Saúde de Santa Cecília","602166",FALSE,"Santa Cecília",440,FALSE,1
870,870,1,2,1398,"Serviço Autônomo de Água e Esgoto de Alagoinha","302005",FALSE,"Alagoinha",870,FALSE,1
9,9,1,2,1413,"Agência Municipal de Desenvolvimento de Campina Grande","302050",FALSE,"Campina Grande",9,FALSE,1
884,884,1,2,1288,"Superintendência de Trânsito e Transporte do Município de Patos","302135",FALSE,"Patos",884,FALSE,1
16531,16531,1,6,1262,"Fundo Municipal de Saúde de Santa Helena","602168",FALSE,"Santa Helena",16531,FALSE,1
378,378,1,6,1413,"Fundo Municipal de Assistencia Social de Campina Grande","603050",FALSE,"Campina Grande",378,FALSE,1
369,369,1,6,1432,"Fundo Mun. de Assist. Social de Santa Cecília","603166",FALSE,"Santa Cecília",369,FALSE,1
16502,16502,1,6,1452,"Fundo Municipal de Assistência Social de Sapé","603200",FALSE,"Sapé",16502,FALSE,1
401,401,1,6,1413,"Fundo Municipal de Defesa dos Direitos Difusos de Campina Grande","604050",FALSE,"Campina Grande",401,FALSE,1
16350,16350,1,2,1257,"Consórcio Intermunicipal de Saúde dos Municípios do Alto Sertão Paraibano","701046",FALSE,"Cajazeiras",16350,FALSE,1
275,275,1,8,1353,"Consórcio Intermunicipal de Saúde do Cariri Ocidental","701212",FALSE,"Sumé",275,FALSE,1
35274,35274,1,6,1425,"Fundo Municipal de Assistência Social de Juarez Távora","0",FALSE,"Juarez Távora",35274,TRUE,NA
15517,15517,1,6,1342,"Fundo Municipal de Saúde do Congo","301062",FALSE,"Congo",15517,FALSE,1
79,79,2,3,1269,"Câmara Municipal de Condado","101060",FALSE,"Condado",79,FALSE,1
40058,40058,1,6,1385,"Fundo Municipal de Saúde de Tacima","201051",FALSE,"Tacima",40058,FALSE,1
